year_month,direction,priority,scorer_version,count
2014-01,ai_bioprinting,Exclude,v3,1
2014-01,am_biomedical,Exclude,v3,11
2014-01,am_biomedical,Low,v3,1
2014-01,hip_implant,Exclude,v3,2
2014-05,hip_implant,Medium,v3,1
2014-06,ai_bioprinting,Exclude,v3,1
2014-09,ai_bioprinting,Exclude,v3,1
2014-09,hip_implant,Low,v3,2
2014-10,hip_implant,Exclude,v3,2
2014-11,am_biomedical,Exclude,v3,3
2014-11,am_biomedical,Low,v3,1
2014-12,am_biomedical,Exclude,v3,3
2014-12,am_biomedical,Low,v3,1
2014-12,hip_implant,Exclude,v3,2
2015-01,ai_bioprinting,Exclude,v3,34
2015-01,ai_bioprinting,Low,v3,22
2015-01,am_biomedical,Exclude,v3,260
2015-01,am_biomedical,High,v3,2
2015-01,am_biomedical,Low,v3,147
2015-01,am_biomedical,Medium,v3,22
2015-01,fea_surrogate,Exclude,v3,438
2015-01,fea_surrogate,High,v3,3
2015-01,fea_surrogate,Low,v3,229
2015-01,fea_surrogate,Medium,v3,59
2015-01,hip_implant,Exclude,v3,347
2015-01,hip_implant,High,v3,4
2015-01,hip_implant,Low,v3,81
2015-01,hip_implant,Medium,v3,12
2015-02,ai_bioprinting,Exclude,v3,5
2015-02,ai_bioprinting,Low,v3,2
2015-02,am_biomedical,Exclude,v3,48
2015-02,am_biomedical,Low,v3,27
2015-02,am_biomedical,Medium,v3,5
2015-02,fea_surrogate,Exclude,v3,80
2015-02,fea_surrogate,Low,v3,38
2015-02,fea_surrogate,Medium,v3,8
2015-02,hip_implant,Exclude,v3,84
2015-02,hip_implant,High,v3,1
2015-02,hip_implant,Low,v3,19
2015-02,hip_implant,Medium,v3,4
2015-03,ai_bioprinting,Exclude,v3,6
2015-03,ai_bioprinting,Low,v3,4
2015-03,am_biomedical,Exclude,v3,54
2015-03,am_biomedical,High,v3,1
2015-03,am_biomedical,Low,v3,22
2015-03,am_biomedical,Medium,v3,9
2015-03,fea_surrogate,Exclude,v3,130
2015-03,fea_surrogate,Low,v3,36
2015-03,fea_surrogate,Medium,v3,8
2015-03,hip_implant,Exclude,v3,68
2015-03,hip_implant,Low,v3,26
2015-03,hip_implant,Medium,v3,5
2015-04,ai_bioprinting,Exclude,v3,11
2015-04,ai_bioprinting,Low,v3,4
2015-04,am_biomedical,Exclude,v3,60
2015-04,am_biomedical,High,v3,2
2015-04,am_biomedical,Low,v3,39
2015-04,am_biomedical,Medium,v3,11
2015-04,fea_surrogate,Exclude,v3,137
2015-04,fea_surrogate,Low,v3,43
2015-04,fea_surrogate,Medium,v3,9
2015-04,hip_implant,Exclude,v3,94
2015-04,hip_implant,High,v3,1
2015-04,hip_implant,Low,v3,23
2015-04,hip_implant,Medium,v3,2
2015-05,ai_bioprinting,Exclude,v3,14
2015-05,ai_bioprinting,Low,v3,2
2015-05,am_biomedical,Exclude,v3,50
2015-05,am_biomedical,Low,v3,18
2015-05,am_biomedical,Medium,v3,8
2015-05,fea_surrogate,Exclude,v3,90
2015-05,fea_surrogate,Low,v3,44
2015-05,fea_surrogate,Medium,v3,7
2015-05,hip_implant,Exclude,v3,86
2015-05,hip_implant,Low,v3,26
2015-05,hip_implant,Medium,v3,4
2015-06,ai_bioprinting,Exclude,v3,5
2015-06,ai_bioprinting,Low,v3,7
2015-06,am_biomedical,Exclude,v3,80
2015-06,am_biomedical,High,v3,1
2015-06,am_biomedical,Low,v3,40
2015-06,am_biomedical,Medium,v3,8
2015-06,fea_surrogate,Exclude,v3,151
2015-06,fea_surrogate,High,v3,1
2015-06,fea_surrogate,Low,v3,65
2015-06,fea_surrogate,Medium,v3,19
2015-06,hip_implant,Exclude,v3,118
2015-06,hip_implant,High,v3,2
2015-06,hip_implant,Low,v3,23
2015-06,hip_implant,Medium,v3,4
2015-07,ai_bioprinting,Exclude,v3,9
2015-07,ai_bioprinting,Low,v3,6
2015-07,am_biomedical,Exclude,v3,68
2015-07,am_biomedical,Low,v3,30
2015-07,am_biomedical,Medium,v3,10
2015-07,fea_surrogate,Exclude,v3,175
2015-07,fea_surrogate,Low,v3,55
2015-07,fea_surrogate,Medium,v3,15
2015-07,hip_implant,Exclude,v3,81
2015-07,hip_implant,High,v3,1
2015-07,hip_implant,Low,v3,29
2015-07,hip_implant,Medium,v3,3
2015-08,ai_bioprinting,Exclude,v3,4
2015-08,ai_bioprinting,Low,v3,11
2015-08,am_biomedical,Exclude,v3,48
2015-08,am_biomedical,Low,v3,28
2015-08,am_biomedical,Medium,v3,5
2015-08,fea_surrogate,Exclude,v3,96
2015-08,fea_surrogate,High,v3,1
2015-08,fea_surrogate,Low,v3,38
