year,direction,priority,scorer_version,count
2014,ai_bioprinting,Exclude,v3,3
2014,am_biomedical,Exclude,v3,17
2014,am_biomedical,Low,v3,3
2014,hip_implant,Exclude,v3,6
2014,hip_implant,Low,v3,2
2014,hip_implant,Medium,v3,1
2015,ai_bioprinting,Exclude,v3,127
2015,ai_bioprinting,Low,v3,82
2015,am_biomedical,Exclude,v3,953
2015,am_biomedical,High,v3,10
2015,am_biomedical,Low,v3,492
2015,am_biomedical,Medium,v3,109
2015,fea_surrogate,Exclude,v3,1848
2015,fea_surrogate,High,v3,7
2015,fea_surrogate,Low,v3,770
2015,fea_surrogate,Medium,v3,189
2015,hip_implant,Exclude,v3,1306
2015,hip_implant,High,v3,17
2015,hip_implant,Low,v3,354
2015,hip_implant,Medium,v3,60
2016,ai_bioprinting,Exclude,v3,246
2016,ai_bioprinting,Low,v3,156
2016,ai_bioprinting,Medium,v3,5
2016,am_biomedical,Exclude,v3,1191
2016,am_biomedical,High,v3,20
2016,am_biomedical,Low,v3,684
2016,am_biomedical,Medium,v3,148
2016,fea_surrogate,Exclude,v3,2000
2016,fea_surrogate,High,v3,10
2016,fea_surrogate,Low,v3,720
2016,fea_surrogate,Medium,v3,181
2016,hip_implant,Exclude,v3,1524
2016,hip_implant,High,v3,28
2016,hip_implant,Low,v3,425
2016,hip_implant,Medium,v3,58
2017,ai_bioprinting,Exclude,v3,297
2017,ai_bioprinting,Low,v3,213
2017,ai_bioprinting,Medium,v3,4
2017,am_biomedical,Exclude,v3,1274
2017,am_biomedical,High,v3,21
2017,am_biomedical,Low,v3,780
2017,am_biomedical,Medium,v3,177
2017,fea_surrogate,Exclude,v3,2122
2017,fea_surrogate,High,v3,12
2017,fea_surrogate,Low,v3,855
2017,fea_surrogate,Medium,v3,205
2017,hip_implant,Exclude,v3,1393
2017,hip_implant,High,v3,26
2017,hip_implant,Low,v3,355
2017,hip_implant,Medium,v3,62
2018,ai_bioprinting,Exclude,v3,297
2018,ai_bioprinting,High,v3,1
2018,ai_bioprinting,Low,v3,264
2018,ai_bioprinting,Medium,v3,11
2018,am_biomedical,Exclude,v3,1277
2018,am_biomedical,High,v3,41
2018,am_biomedical,Low,v3,923
2018,am_biomedical,Medium,v3,215
2018,fea_surrogate,Exclude,v3,1958
2018,fea_surrogate,High,v3,7
2018,fea_surrogate,Low,v3,877
2018,fea_surrogate,Medium,v3,242
2018,hip_implant,Exclude,v3,2045
2018,hip_implant,High,v3,21
2018,hip_implant,Low,v3,641
2018,hip_implant,Medium,v3,88
2019,ai_bioprinting,Exclude,v3,357
2019,ai_bioprinting,Low,v3,405
2019,ai_bioprinting,Medium,v3,21
2019,am_biomedical,Exclude,v3,1292
2019,am_biomedical,High,v3,46
2019,am_biomedical,Low,v3,1263
2019,am_biomedical,Medium,v3,267
2019,fea_surrogate,Exclude,v3,2302
2019,fea_surrogate,High,v3,29
2019,fea_surrogate,Low,v3,1192
2019,fea_surrogate,Medium,v3,337
2019,hip_implant,Exclude,v3,1438
2019,hip_implant,High,v3,14
2019,hip_implant,Low,v3,427
2019,hip_implant,Medium,v3,59
2020,ai_bioprinting,Exclude,v3,493
2020,ai_bioprinting,High,v3,5
2020,ai_bioprinting,Low,v3,576
2020,ai_bioprinting,Medium,v3,52
2020,am_biomedical,Exclude,v3,1429
2020,am_biomedical,High,v3,78
2020,am_biomedical,Low,v3,1676
2020,am_biomedical,Medium,v3,412
2020,fea_surrogate,Exclude,v3,3495
2020,fea_surrogate,High,v3,74
2020,fea_surrogate,Low,v3,1685
2020,fea_surrogate,Medium,v3,589
2020,hip_implant,Exclude,v3,1927
2020,hip_implant,High,v3,31
2020,hip_implant,Low,v3,583
2020,hip_implant,Medium,v3,81
2021,ai_bioprinting,Exclude,v3,646
2021,ai_bioprinting,High,v3,7
2021,ai_bioprinting,Low,v3,598
2021,ai_bioprinting,Medium,v3,29
2021,am_biomedical,Exclude,v3,1791
2021,am_biomedical,High,v3,83
2021,am_biomedical,Low,v3,1759
2021,am_biomedical,Medium,v3,513
2021,fea_surrogate,Exclude,v3,2973
2021,fea_surrogate,High,v3,78
2021,fea_surrogate,Low,v3,1953
2021,fea_surrogate,Medium,v3,738
2021,hip_implant,Exclude,v3,1881
2021,hip_implant,High,v3,14
2021,hip_implant,Low,v3,551
2021,hip_implant,Medium,v3,69
2022,ai_bioprinting,Exclude,v3,747
2022,ai_bioprinting,High,v3,6
2022,ai_bioprinting,Low,v3,600
2022,ai_bioprinting,Medium,v3,37
2022,am_biomedical,Exclude,v3,1768
2022,am_biomedical,High,v3,86
2022,am_biomedical,Low,v3,2032
2022,am_biomedical,Medium,v3,551
2022,fea_surrogate,Exclude,v3,2389
2022,fea_surrogate,High,v3,129
2022,fea_surrogate,Low,v3,2272
2022,fea_surrogate,Medium,v3,863
2022,hip_implant,Exclude,v3,1625
2022,hip_implant,High,v3,18
2022,hip_implant,Low,v3,521
2022,hip_implant,Medium,v3,70
2023,ai_bioprinting,Exclude,v1,3
2023,ai_bioprinting,Exclude,v3,794
