tag,direction,year,count_year,count_prev_year,delta
selective laser melting,am_biomedical,2015,68,0,68
mechanical properties,am_biomedical,2015,29,0,29
porous titanium,am_biomedical,2015,26,0,26
Ti-6Al-4V,am_biomedical,2015,20,0,20
additive manufacturing,am_biomedical,2015,19,0,19
osseointegration,am_biomedical,2015,13,0,13
mechanical testing,am_biomedical,2015,12,0,12
Ti6Al4V,am_biomedical,2015,10,0,10
porous structure,am_biomedical,2015,9,0,9
finite element analysis,am_biomedical,2015,8,0,8
microstructure,am_biomedical,2015,8,0,8
stress shielding,am_biomedical,2015,8,0,8
electron beam melting,am_biomedical,2015,7,0,7
heat treatment,am_biomedical,2015,7,0,7
surface modification,am_biomedical,2015,7,0,7
EBM,am_biomedical,2015,6,0,6
biomedical implant,am_biomedical,2015,6,0,6
Young's modulus,am_biomedical,2015,5,0,5
animal study,am_biomedical,2015,5,0,5
compression testing,am_biomedical,2015,5,0,5
fatigue,am_biomedical,2015,5,0,5
in vivo,am_biomedical,2015,5,0,5
lattice structures,am_biomedical,2015,5,0,5
surface roughness,am_biomedical,2015,5,0,5
titanium,am_biomedical,2015,5,0,5
uncertainty quantification,fea_surrogate,2015,139,0,139
surrogate modeling,fea_surrogate,2015,76,0,76
Gaussian process,fea_surrogate,2015,33,0,33
Bayesian optimization,fea_surrogate,2015,18,0,18
active learning,fea_surrogate,2015,13,0,13
polynomial chaos expansion,fea_surrogate,2015,13,0,13
Bayesian inference,fea_surrogate,2015,12,0,12
polynomial chaos,fea_surrogate,2015,11,0,11
epistemic uncertainty,fea_surrogate,2015,8,0,8
sensitivity analysis,fea_surrogate,2015,7,0,7
Kriging,fea_surrogate,2015,6,0,6
model order reduction,fea_surrogate,2015,5,0,5
optimization,fea_surrogate,2015,5,0,5
reliability analysis,fea_surrogate,2015,5,0,5
scalability,fea_surrogate,2015,5,0,5
surrogate modelling,fea_surrogate,2015,5,0,5
micromotion,hip_implant,2015,25,0,25
stress shielding,hip_implant,2015,23,1,22
hip implant,hip_implant,2015,22,0,22
Gruen zones,hip_implant,2015,11,0,11
finite element analysis,hip_implant,2015,11,1,10
primary stability,hip_implant,2015,11,0,11
bone remodeling,hip_implant,2015,8,0,8
total hip arthroplasty,hip_implant,2015,8,0,8
short stem,hip_implant,2015,7,0,7
RSA,hip_implant,2015,6,0,6
femoral stem,hip_implant,2015,6,0,6
DEXA,hip_implant,2015,5,0,5
cementless femoral stem,hip_implant,2015,5,0,5
osseointegration,am_biomedical,2016,34,13,21
Ti6Al4V,am_biomedical,2016,22,10,12
fatigue,am_biomedical,2016,20,5,15
stress shielding,am_biomedical,2016,18,8,10
stiffness matching,am_biomedical,2016,10,3,7
316L stainless steel,am_biomedical,2016,9,1,8
elastic modulus,am_biomedical,2016,8,1,7
dental implant,am_biomedical,2016,7,2,5
porous,am_biomedical,2016,6,1,5
NiTi,am_biomedical,2016,5,0,5
titanium alloy,am_biomedical,2016,5,2,3
titanium lattice,am_biomedical,2016,5,0,5
Bayesian optimization,fea_surrogate,2016,39,18,21
multi-objective optimization,fea_surrogate,2016,10,2,8
high-dimensional,fea_surrogate,2016,7,2,5
sampling efficiency,fea_surrogate,2016,6,2,4
finite element analysis,hip_implant,2016,28,11,17
finite element,hip_implant,2016,9,3,6
patient-specific,hip_implant,2016,8,2,6
cementless THA,hip_implant,2016,5,2,3
hip arthroplasty,hip_implant,2016,5,2,3
press-fit,hip_implant,2016,5,1,4
biomedical implant,am_biomedical,2017,8,4,4
in vitro,am_biomedical,2017,7,3,4
antibacterial,am_biomedical,2017,6,0,6
scaffold,am_biomedical,2017,6,3,3
TPMS,am_biomedical,2017,5,2,3
anisotropy,am_biomedical,2017,5,0,5
functionally graded lattice,am_biomedical,2017,5,0,5
selective laser sintering,am_biomedical,2017,5,2,3
polynomial chaos,fea_surrogate,2017,12,5,7
kriging,fea_surrogate,2017,6,2,4
metamodeling,fea_surrogate,2017,6,2,4
Bayesian calibration,fea_surrogate,2017,5,1,4
acquisition function,fea_surrogate,2017,5,2,3
additive manufacturing,fea_surrogate,2017,5,1,4
finite element method,fea_surrogate,2017,5,1,4
short stem,hip_implant,2017,17,4,13
femoral stem,hip_implant,2017,13,6,7
in vivo,am_biomedical,2018,16,7,9
surface modification,am_biomedical,2018,15,4,11
biocompatibility,am_biomedical,2018,13,3,10
lattice structure,am_biomedical,2018,12,5,7
electron beam melting,am_biomedical,2018,10,3,7
animal study,am_biomedical,2018,9,3,6
316L stainless steel,am_biomedical,2018,7,0,7
NiTi,am_biomedical,2018,7,2,5
titanium alloy,am_biomedical,2018,7,3,4
compression,am_biomedical,2018,6,3,3
compression testing,am_biomedical,2018,6,3,3
porous scaffold,am_biomedical,2018,6,3,3
bone tissue engineering,am_biomedical,2018,5,1,4
compression test,am_biomedical,2018,5,0,5
digital image correlation,am_biomedical,2018,5,0,5
rabbit model,am_biomedical,2018,5,0,5
active learning,fea_surrogate,2018,20,9,11
Kriging,fea_surrogate,2018,13,6,7
machine learning,fea_surrogate,2018,7,1,6
deep learning,fea_surrogate,2018,6,1,5
finite element analysis,fea_surrogate,2018,6,3,3
Monte Carlo,fea_surrogate,2018,5,0,5
reduced-order model,fea_surrogate,2018,5,2,3
hip arthroplasty,hip_implant,2018,11,3,8
patient-specific,hip_implant,2018,8,3,5
RSA,hip_implant,2018,5,1,4
cementless hip stem,hip_implant,2018,5,1,4
microstructure,am_biomedical,2019,36,14,22
lattice structures,am_biomedical,2019,28,10,18
finite element analysis,am_biomedical,2019,18,7,11
titanium,am_biomedical,2019,16,8,8
porosity,am_biomedical,2019,15,7,8
shape memory alloy,am_biomedical,2019,8,4,4
DMLS,am_biomedical,2019,7,3,4
bone implant,am_biomedical,2019,7,2,5
gyroid,am_biomedical,2019,7,3,4
hot isostatic pressing,am_biomedical,2019,7,0,7
stiffness matching,am_biomedical,2019,6,3,3
active learning,fea_surrogate,2019,54,20,34
polynomial chaos expansion,fea_surrogate,2019,21,8,13
multi-fidelity,fea_surrogate,2019,13,4,9
high-dimensional,fea_surrogate,2019,10,5,5
finite element method,fea_surrogate,2019,9,4,5
sampling efficiency,fea_surrogate,2019,7,3,4
acquisition function,fea_surrogate,2019,6,3,3
kriging,fea_surrogate,2019,6,3,3
neural network,fea_surrogate,2019,6,3,3
CFD,fea_surrogate,2019,5,1,4
adaptive sampling,fea_surrogate,2019,5,0,5
constraint handling,fea_surrogate,2019,5,1,4
design optimization,fea_surrogate,2019,5,1,4
reliability-based design optimization,fea_surrogate,2019,5,1,4
selective laser melting,fea_surrogate,2019,5,2,3
transfer learning,fea_surrogate,2019,5,2,3
bioprinting,ai_bioprinting,2020,12,4,8
3D bioprinting,ai_bioprinting,2020,11,2,9
bioink,ai_bioprinting,2020,10,3,7
machine learning,ai_bioprinting,2020,8,1,7
extrusion bioprinting,ai_bioprinting,2020,7,2,5
digital twin,ai_bioprinting,2020,6,1,5
