year,direction,tag,count
2014,hip_implant,Asian femur,1
2014,hip_implant,bone-implant interface,1
2014,hip_implant,custom stem,1
2014,hip_implant,finite element analysis,1
2014,hip_implant,stress shielding,1
2015,am_biomedical,316L,2
2015,am_biomedical,316L stainless steel,1
2015,am_biomedical,3DP,1
2015,am_biomedical,AM biomedical,1
2015,am_biomedical,ASTM F75,1
2015,am_biomedical,Ashby diagram,1
2015,am_biomedical,BMP-2,3
2015,am_biomedical,BisGMA,1
2015,am_biomedical,CP-Ti,1
2015,am_biomedical,Co-Cr,2
2015,am_biomedical,Co-Cr alloy,1
2015,am_biomedical,Co-Cr-Mo,2
2015,am_biomedical,Co-based alloy,1
2015,am_biomedical,CoCr alloy,1
2015,am_biomedical,CoCrMo,3
2015,am_biomedical,DMLS,3
2015,am_biomedical,EBM,6
2015,am_biomedical,FDM,1
2015,am_biomedical,HIP,1
2015,am_biomedical,Hanks' solution,1
2015,am_biomedical,Johnson-Cook damage,1
2015,am_biomedical,LENS,1
2015,am_biomedical,LIPSS,1
2015,am_biomedical,LaserCusing,1
2015,am_biomedical,PEEK,2
2015,am_biomedical,SLA,1
2015,am_biomedical,SiO2-TiO2 coating,2
2015,am_biomedical,TPMS,1
2015,am_biomedical,Ti foams,1
2015,am_biomedical,Ti-24Nb-4Zr-8Sn,1
2015,am_biomedical,Ti-35Nb alloy,1
2015,am_biomedical,Ti-45Nb,1
2015,am_biomedical,Ti-6Al-4V,20
2015,am_biomedical,Ti-6Al-7Nb,3
2015,am_biomedical,Ti-Ta alloy,2
2015,am_biomedical,Ti-TiB composites,1
2015,am_biomedical,Ti6Al4V,10
2015,am_biomedical,Ti6Al7Nb,2
2015,am_biomedical,TiAl6V4,1
2015,am_biomedical,X-ray diffraction,1
2015,am_biomedical,Young's modulus,5
2015,am_biomedical,Zr doping,1
2015,am_biomedical,accelerated neutral atom beam,1
2015,am_biomedical,acetabular implant,1
2015,am_biomedical,additive manufacturing,19
2015,am_biomedical,angiogenesis,1
2015,am_biomedical,animal experiment,1
2015,am_biomedical,animal study,5
2015,am_biomedical,anisotropic porous titanium,1
2015,am_biomedical,anodic oxidation,1
2015,am_biomedical,anodization,1
2015,am_biomedical,anodizing,1
2015,am_biomedical,apatite formation,1
2015,am_biomedical,bioactive,1
2015,am_biomedical,bioactive glass,1
2015,am_biomedical,bioactivity,1
2015,am_biomedical,biocompatibility,2
2015,am_biomedical,biodegradable magnesium,1
2015,am_biomedical,biodegradable metals,1
2015,am_biomedical,biomaterials,1
2015,am_biomedical,biomechanical stability,1
2015,am_biomedical,biomedical,3
2015,am_biomedical,biomedical coating,1
2015,am_biomedical,biomedical composite,1
2015,am_biomedical,biomedical implant,6
2015,am_biomedical,biomedical scaffolds,1
2015,am_biomedical,biomimetic surface,1
2015,am_biomedical,biomineralization,1
2015,am_biomedical,body-centred-cubic lattice,1
2015,am_biomedical,bone bonding strength,1
2015,am_biomedical,bone implant,3
2015,am_biomedical,bone ingrowth,4
2015,am_biomedical,bone mineral density,1
2015,am_biomedical,bone regeneration,3
2015,am_biomedical,bone remodelling,1
2015,am_biomedical,bone replacement,1
2015,am_biomedical,bone tissue composite,1
2015,am_biomedical,bone tissue engineering,1
2015,am_biomedical,calcium plasma immersion,1
2015,am_biomedical,canine model,1
2015,am_biomedical,cell culture,1
2015,am_biomedical,cell proliferation,1
2015,am_biomedical,cell size,1
2015,am_biomedical,cell viability,1
2015,am_biomedical,cellular response,1
2015,am_biomedical,chitosan composite,1
2015,am_biomedical,coating,1
2015,am_biomedical,cobalt chromium,1
2015,am_biomedical,composite,1
2015,am_biomedical,compression moulding,1
2015,am_biomedical,compression test,1
2015,am_biomedical,compression testing,5
2015,am_biomedical,compressive behavior,1
2015,am_biomedical,compressive mechanical compatibility,1
2015,am_biomedical,compressive properties,1
2015,am_biomedical,compressive strength,1
2015,am_biomedical,compressive test,1
2015,am_biomedical,corrosion resistance,3
2015,am_biomedical,cortical bone implant,1
2015,am_biomedical,crack growth,1
2015,am_biomedical,craniofacial,1
2015,am_biomedical,cubic and diamond unit cells,1
2015,am_biomedical,customized implants,1
2015,am_biomedical,cytocompatibility,1
2015,am_biomedical,defect tolerance,1
2015,am_biomedical,defects,1
2015,am_biomedical,deformation behavior,1
2015,am_biomedical,deformation behaviour,1
2015,am_biomedical,deformation mechanisms,1
2015,am_biomedical,dental alloy,1
2015,am_biomedical,dental implant,2
2015,am_biomedical,dental implants,1
2015,am_biomedical,diamond structure,1
2015,am_biomedical,dimensional accuracy,2
2015,am_biomedical,dimensional quality,1
2015,am_biomedical,ductility,2
2015,am_biomedical,dynamic culture,1
2015,am_biomedical,elastic modulus,1
2015,am_biomedical,elastic properties,1
2015,am_biomedical,elasto-plastic,1
2015,am_biomedical,electro-polishing,1
2015,am_biomedical,electron beam melting,7
2015,am_biomedical,entangled porous titanium,1
2015,am_biomedical,entangled structure,1
2015,am_biomedical,extrusion freeforming,1
2015,am_biomedical,failure behavior,1
2015,am_biomedical,failure prediction,1
2015,am_biomedical,fatigue,5
2015,am_biomedical,fatigue crack growth,2
2015,am_biomedical,fatigue strength,1
2015,am_biomedical,femoral prosthesis,1
2015,am_biomedical,femtosecond laser,1
2015,am_biomedical,fibrin gel,1
2015,am_biomedical,fibrin glue,1
2015,am_biomedical,finite element,1
2015,am_biomedical,finite element analysis,8
2015,am_biomedical,finite element model,1
2015,am_biomedical,finite element modeling,1
2015,am_biomedical,functionally graded,1
2015,am_biomedical,gene expression,1
2015,am_biomedical,geometric accuracy,1
2015,am_biomedical,growth factor,1
2015,am_biomedical,hardness,2
2015,am_biomedical,heat treatment,7
2015,am_biomedical,hip implant,2
2015,am_biomedical,histology,1
2015,am_biomedical,hydroxyapatite,2
2015,am_biomedical,hydroxyapatite coating,3
2015,am_biomedical,implant,2
2015,am_biomedical,in vitro,4
2015,am_biomedical,in vivo,5
2015,am_biomedical,intervertebral disc implant,1
2015,am_biomedical,knee implant,1
2015,am_biomedical,laser ablation,1
2015,am_biomedical,lattice microstructure,1
2015,am_biomedical,lattice structure,3
2015,am_biomedical,lattice structures,5
2015,am_biomedical,load-bearing,1
2015,am_biomedical,load-bearing scaffold,1
2015,am_biomedical,low Young's modulus,1
2015,am_biomedical,macro-scale channels,1
2015,am_biomedical,magnesium alloys,1
2015,am_biomedical,magnesium composite,1
2015,am_biomedical,mandible implant,1
2015,am_biomedical,manufacturing constraints,1
2015,am_biomedical,martensite decomposition,1
2015,am_biomedical,mechanical behavior,1
2015,am_biomedical,mechanical degradation,1
2015,am_biomedical,mechanical properties,29
2015,am_biomedical,mechanical response,2
2015,am_biomedical,mechanical testing,12
2015,am_biomedical,mechanobiology,1
2015,am_biomedical,mechanoregulatory algorithm,1
2015,am_biomedical,medical implants,2
2015,am_biomedical,mesenchymal stem cells,1
2015,am_biomedical,mesh structure,1
2015,am_biomedical,metallic implants,1
2015,am_biomedical,metatarsal defect,1
2015,am_biomedical,micro lattice,2
2015,am_biomedical,micro-CT,2
2015,am_biomedical,micro/nano surface,1
2015,am_biomedical,microarc oxidation,2
2015,am_biomedical,microlattice,1
2015,am_biomedical,microscaffold,1
2015,am_biomedical,microstructure,8
2015,am_biomedical,nanopillars,1
2015,am_biomedical,nanotopography,1
2015,am_biomedical,numerical simulation,1
2015,am_biomedical,open cellular structure,1
2015,am_biomedical,open cellular structures,1
2015,am_biomedical,open-porous,1
2015,am_biomedical,optimization,1
2015,am_biomedical,orthopaedic implant,1
2015,am_biomedical,orthopedic implants,1
2015,am_biomedical,osseointegration,13
2015,am_biomedical,osteoblast,3
2015,am_biomedical,osteoblast response,1
2015,am_biomedical,osteoblastic cells,1
2015,am_biomedical,osteogenesis,4
2015,am_biomedical,osteostatin,1
2015,am_biomedical,patient-specific,1
2015,am_biomedical,physiological strain rate,1
2015,am_biomedical,pore geometry,1
2015,am_biomedical,pore size,1
2015,am_biomedical,pore structure,2
2015,am_biomedical,porosity,4
2015,am_biomedical,porous,1
2015,am_biomedical,porous Ti-6Al-4V,1
2015,am_biomedical,porous Ti6Al4V,1
2015,am_biomedical,porous biomaterials,3
2015,am_biomedical,porous coating,3
2015,am_biomedical,porous cobalt chromium alloy,1
2015,am_biomedical,porous implant,1
2015,am_biomedical,porous niobium,1
2015,am_biomedical,porous scaffold,3
2015,am_biomedical,porous scaffolds,1
2015,am_biomedical,porous structure,9
2015,am_biomedical,porous structures,1
2015,am_biomedical,porous surface,1
