year	file	doi	title	direction	priority	scorer_failed	silent	completeness_pct	missing_fields	consistency_verdict	consistency_note	zh_substance_verdict	zh_weak_fields	routing_verdict	routing_note
2014	2014-01-01.json		Identification of possible factors influencing temperatures elevation during implant site preparation with piezoelectri…	am_biomedical	Exclude	0	0	100.0		consistent		substantive		appropriate	assigned=1 >= best_other=0
2014	2014-01-01.json	10.1159/000369061	Efficient bone formation in a swine socket lift model using Escherichia coli-derived recombinant human bone morphogenet…	am_biomedical	Exclude	0	0	100.0		consistent		partly_vague	validation	appropriate	assigned=1 >= best_other=0
2015	2015-03-20.json	10.1038/srep09369	Upregulation of BMSCs osteogenesis by positively-charged tertiary amines on polymeric implants via charge/iNOS signalin…	am_biomedical	Exclude	0	0	100.0		consistent		substantive		appropriate	assigned=1 >= best_other=0
2015	2015-12-14.json	10.1055/s-0035-1567890	Complications after Total Porous Implant Ear Reconstruction and Their Management	am_biomedical	Exclude	0	0	100.0		consistent		substantive		questionable	no strong_keyword hits in assigned or any other direction
2015	2015-02-13.json	10.1002/aic.14762	Uncertainty quantification of property models: Methodology and its application to CO<sub>2</sub>‐loaded aqueous MEA sol…	fea_surrogate	Low	0	0	100.0		consistent		substantive		appropriate	assigned=1 >= best_other=0
2015	2015-03-01.json	10.1302/0301-620x.97b3.34684	Revision total hip arthroplasty in patients with extensive proximal femoral bone loss using a fluted tapered modular fe…	hip_implant	Low	0	0	100.0		consistent		substantive		appropriate	assigned=3 >= best_other=1
2016	2016-01-01.json		BIOFABRICATION OF SILVER NANOPARTICLES FROM FRUITS WASTE EXTRACT AND THEIR APPLICATION TOWARDS ANTIMICROBIAL ACTIVITY	ai_bioprinting	Exclude	0	0	100.0		consistent		substantive		appropriate	assigned=1 >= best_other=0
2016	2016-10-12.json		THE EFFECTS OF SCAN STRATEGIES ON SELECTIVE LASER MELTED PARTS	am_biomedical	Low	0	0	100.0		consistent		substantive		appropriate	assigned=1 >= best_other=0
2016	2016-01-01.json	10.3389/conf.fbioe.2016.01.02522	Fatigue performance of a Ti-6Al-4V femoral prosthesis modified by thermal plasma spray	am_biomedical	Medium	0	0	100.0		clear_mismatch	priority=Medium but reasoning contains: 未涉及	substantive		appropriate	assigned=2 >= best_other=1
2016	2016-09-14.json	10.1016/j.jbiomech.2016.09.003	Gait abnormalities before and after total hip arthroplasty differ in men and women	hip_implant	Low	0	0	100.0		consistent		substantive		appropriate	assigned=1 >= best_other=0
2017	2017-12-01.json	10.1142/s2424913017500151	Micromechanical modeling of 3D printable interpenetrating phase composites with tailorable effective elastic properties…	am_biomedical	Low	0	0	100.0		consistent		substantive		appropriate	assigned=1 >= best_other=0
2017	2017-10-01.json	10.1109/ctit.2017.8259556	Smart education: Introducing active learning engineering classrooms in the Middle East	fea_surrogate	Exclude	0	0	100.0		consistent		substantive		appropriate	assigned=1 >= best_other=0
2017	2017-01-01.json	10.1155/2017/6082302	Osteolysis of the Greater Trochanter Caused by a Foreign Body Granuloma Associated with the Ethibond® Suture after Tota…	hip_implant	Exclude	0	0	100.0		consistent		substantive		appropriate	assigned=1 >= best_other=0
2017	2017-07-03.json	10.14740/jmc.v8i7.2834	Anesthetic Management of a 13-Year-Old Adolescent With Mucolipidosis Type II for Total Hip Arthroplasty	hip_implant	Exclude	0	0	100.0		consistent		substantive		appropriate	assigned=1 >= best_other=0
2018	2018-01-01.json	10.4103/ijdr.ijdr_729_16	Various bio-mechanical factors affecting heat generation during osteotomy preparation: A systematic review	am_biomedical	Exclude	0	0	100.0		consistent		substantive		appropriate	assigned=1 >= best_other=0
2018	2018-01-02.json	10.1080/23734833.2018.1417208	Using Participation Assessments to Create Active Learners in the Dance Studio	fea_surrogate	Exclude	0	0	100.0		consistent		substantive		appropriate	assigned=1 >= best_other=0
2018	2018-08-01.json	10.1109/icamechs.2018.8506926	Character recognition for automotive electrical box components based on Machine vision	fea_surrogate	Exclude	0	0	100.0		consistent		partly_vague	validation	appropriate	assigned=1 >= best_other=0
2018	2018-01-01.json	10.1615/intjmultcompeng.2018026895	AN ADAPTIVE REDUCED-DIMENSIONAL DISCRETE ELEMENT MODEL FOR DYNAMIC RESPONSES OF GRANULAR MATERIALS WITH HIGH-FREQUENCY …	fea_surrogate	Low	0	0	100.0		consistent		substantive		appropriate	assigned=1 >= best_other=0
2019	2019-01-01.json	10.1039/c9sm01543d	Injectable and fast self-healing protein hydrogels	ai_bioprinting	Low	0	0	100.0		consistent		substantive		appropriate	assigned=1 >= best_other=0
2019	2019-05-23.json	10.1016/j.ceramint.2019.05.251	Pre-processing of hematite-doped alumina granules for Selective Laser Melting	am_biomedical	Low	0	0	100.0		consistent		substantive		appropriate	assigned=1 >= best_other=0
2019	2019-05-31.json	10.52041/serj.v18i1.150	TOWARD A FULL(ER) IMPLEMENTATION OF ACTIVE LEARNING	fea_surrogate	Exclude	0	0	100.0		consistent		substantive		appropriate	assigned=1 >= best_other=0
2019	2019-11-19.json	10.1053/j.jfas.2018.10.007	Analysis of Micromotion in a Talonavicular Arthrodesis With and Without a Calcaneal Displacement Osteotomy in a Cadaver…	hip_implant	Exclude	0	0	100.0		consistent		partly_vague	validation	appropriate	assigned=1 >= best_other=0
